policy,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh,savings_vs_0_yuan,savings_vs_0_ratio,soc_policy,terminal_mode,initial_soc_policy,initial_soc_first_day,final_soc_last_day,mean_daily_start_soc,mean_daily_end_soc,min_soc,max_soc,mean_soc,terminal_soc_mean,terminal_soc_median,terminal_soc_min,terminal_soc_max,terminal_soc_p05,terminal_soc_p95,days_terminal_soc_near_min,days_terminal_soc_near_max,soc_start_end_delta_mean,soc_continuity_max_error,charge_kwh,discharge_kwh,throughput_kwh,emergency_days,emergency_slots,raw_total_cost,daily_cost_p95,days_end_near_min,days_end_near_max,salvage_low_yuan_per_kwh,terminal_energy_adjusted_cost_low,salvage_mean_yuan_per_kwh,terminal_energy_adjusted_cost_mean,salvage_high_yuan_per_kwh,terminal_energy_adjusted_cost_high,terminal_energy_adjusted_cost,mean_terminal_soc,min_terminal_soc,max_terminal_soc,days_near_soc_min,days_near_soc_max
0,25575181.11322694,25575181.11322694,403037.5651783478,25978218.67840529,15925905.999201803,0.0,1512572.4708190116,17438478.470020816,0.0,0.0,0.0,0.0,continuous_lookahead,free,feb1_control_start,6000.0,1200.0,1214.37125748503,1200.0,1200.0,10800.0,6754.2742621566895,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,334,0,-14.37125748502994,0.0,7531269.386943964,6104648.203424611,13635917.590368576,244,10170,17438478.470020816,69107.86992940708,334,0,0.33417,17440082.486020815,0.6895775000000001,17441788.442020815,1.2556800000000001,17444505.734020814,17441788.442020815,1200.0,1200.0,1200.0,334,0
0+6,25575181.11322694,25132236.925343916,320257.18479038257,25452494.1101343,15925905.999201803,20422.02097974152,1221079.236803515,17167407.25698506,256376.3512286934,699320.5391117152,271071.21303575486,0.015544430295439147,continuous_lookahead,free,feb1_control_start,6000.0,1200.0,1214.37125748503,1200.0,1200.0,10800.0,6732.108065373212,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,334,0,-14.37125748502994,0.0,7419288.701712299,6013943.848386963,13433232.550099261,244,9628,17167407.25698506,68804.94652583572,334,0,0.33417,17169011.27298506,0.6895775000000001,17170717.22898506,1.2556800000000001,17173434.52098506,17170717.22898506,1200.0,1200.0,1200.0,334,0
0+6+12,25575181.11322694,24955999.7273196,301533.0658616755,25257532.793181274,15925905.999201803,13883.12902539775,1149825.2290656052,17089614.357292805,327003.325441534,946184.711348876,348864.11272801086,0.02000542153535683,continuous_lookahead,free,feb1_control_start,6000.0,1200.0,1214.37125748503,1200.0,1200.0,10800.0,6733.166165552825,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,334,0,-14.37125748502994,0.0,7370667.540750617,5974560.708008,13345228.248758618,243,9581,17089614.357292805,68912.37030915597,334,0,0.33417,17091218.373292804,0.6895775000000001,17092924.329292804,1.2556800000000001,17095641.621292803,17092924.329292804,1200.0,1200.0,1200.0,334,0
0+6+12+18,25575181.11322694,24955825.603354193,301554.5672825841,25257380.170636777,15925905.999201803,13801.56222551021,1149928.447386853,17089636.008814167,327025.5599568117,946381.0698295573,348842.4612066485,0.02000417994071888,continuous_lookahead,free,feb1_control_start,6000.0,1200.0,1214.37125748503,1200.0,1200.0,10800.0,6733.227404907887,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,334,0,-14.37125748502994,0.0,7370752.758076531,5974629.734041991,13345382.492118523,243,9583,17089636.008814167,68912.37030915597,334,0,0.33417,17091240.024814166,0.6895775000000001,17092945.980814166,1.2556800000000001,17095663.272814166,17092945.980814166,1200.0,1200.0,1200.0,334,0
0+12+18,25575181.11322694,25164982.119370073,342817.7759328104,25507799.895302884,15925905.999201803,-40597.82738866432,1297220.7787485449,17182528.950561684,136497.88620638824,546696.8800632549,255949.5194591321,0.014677285056671954,continuous_lookahead,free,feb1_control_start,6000.0,1200.0,1214.37125748503,1200.0,1200.0,10800.0,6749.560603699789,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,334,0,-14.37125748502994,0.0,7411387.790645199,6007544.110422611,13418931.90106781,243,9962,17182528.950561684,70377.73551151839,334,0,0.33417,17184132.966561683,0.6895775000000001,17185838.922561683,1.2556800000000001,17188556.214561682,17185838.922561683,1200.0,1200.0,1200.0,334,0
0+6+18,25575181.11322694,25131722.9020462,320356.35571429477,25452079.25776049,15925905.999201803,20115.66144046176,1221546.5385525036,17167568.19919477,256388.9030453601,699847.1142261013,270910.2708260454,0.015535201152541953,continuous_lookahead,free,feb1_control_start,6000.0,1200.0,1214.37125748503,1200.0,1200.0,10800.0,6732.1925520378245,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,334,0,-14.37125748502994,0.0,7419258.531197982,6013919.410270366,13433177.941468347,244,9634,17167568.19919477,68804.94652583572,334,0,0.33417,17169172.21519477,0.6895775000000001,17170878.17119477,1.2556800000000001,17173595.46319477,17170878.17119477,1200.0,1200.0,1200.0,334,0
