policy,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh,savings_vs_0_yuan,savings_vs_0_ratio
0,25627255.441250667,25627255.441250667,380700.5461475621,26007955.98739823,15933478.626203697,0.0,1432371.8905661374,17365850.516769834,0.0,0.0,0.0,0.0
0+6,25627255.441250667,25180656.49640817,300935.5744814551,25481592.070889626,15933478.626203697,18676.616111765037,1150283.320336256,17102438.562651716,255022.13043329734,701621.0752757961,263411.9541181177,0.015168387742584007
0+6+12,25627255.441250667,24999199.302475538,282085.63826788275,25281284.94074342,15933478.626203697,9377.417676283196,1077450.6026608576,17020306.64654084,323799.4268376691,951855.5656127983,345543.87022899464,0.019897895003490342
0+6+12+18,25627255.441250667,24999024.99540642,282112.5625881113,25281137.55799453,15933478.626203697,9278.627515885404,1077585.66651238,17020342.92023196,323807.88353905804,952038.3293833059,345507.59653787315,0.019895806209101235
0+12+18,25627255.441250667,25209276.785949323,321945.8997114686,25531222.685660794,15933478.626203697,-45480.39354523105,1221579.7407969814,17109577.973455448,133042.7268439915,551021.382145335,256272.54331438616,0.01475726991124962
0+6+18,25627255.441250667,25180183.414460965,300951.5732624531,25481134.987723418,15933478.626203697,18390.72390798706,1150217.460100173,17102086.810211856,255030.57185829733,702102.5986480011,263763.70655797794,0.015188643153600046
