policy,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh,savings_vs_0_yuan,savings_vs_0_ratio
0,22939896.297283165,22939896.297283165,251566.62299532545,23191462.92027849,14063799.63825814,0.0,840757.9663268804,14904557.604585022,0.0,0.0,0.0,0.0
0+6,22939896.297283165,22584442.877851743,185176.32878574368,22769619.206637487,14063799.63825814,27468.936557709163,641584.8585275424,14732853.433343394,222578.5775371462,578031.9969685674,171704.171241628,0.011520246074852126
0+6+12,22939896.297283165,22420688.017751135,161192.61333784985,22581880.631088987,14063799.63825814,17107.143959266807,560743.272660705,14641650.054878114,278861.8918179637,798070.1713499929,262907.54970690794,0.0176394064608822
0+6+12+18,22939896.297283165,22420537.518194336,161398.6328576024,22581936.15105194,14063799.63825814,17012.929051584786,562061.2988778113,14642873.866187537,278861.8918179637,798220.6709067915,261683.73839748465,0.01755729658939921
0+12+18,22939896.297283165,22590536.3552748,187815.79863455732,22778352.15390936,14063799.63825814,-33653.11136639705,636759.2562810028,14666905.783172747,114302.52377041682,463662.4657787799,237651.8214122746,0.015944909450996844
0+6+18,22939896.297283165,22584047.3298886,185387.88562657742,22769435.215515178,14063799.63825814,27221.15374107209,642916.3385105212,14733937.130509734,222578.5775371462,578427.5449317092,170620.47407528758,0.011447536961633828
