price_mode,update_hours,soc_policy,terminal_mode,initial_soc_policy,initial_soc_first_day,final_soc_last_day,mean_daily_start_soc,mean_daily_end_soc,min_soc,max_soc,mean_soc,terminal_soc_mean,terminal_soc_median,terminal_soc_min,terminal_soc_max,terminal_soc_p05,terminal_soc_p95,days_terminal_soc_near_min,days_terminal_soc_near_max,soc_start_end_delta_mean,soc_continuity_max_error,charge_kwh,discharge_kwh,throughput_kwh,emergency_days,emergency_slots,raw_total_cost,total_cost,daily_cost_p95,days_end_near_min,days_end_near_max,salvage_low_yuan_per_kwh,terminal_energy_adjusted_cost_low,salvage_mean_yuan_per_kwh,terminal_energy_adjusted_cost_mean,salvage_high_yuan_per_kwh,terminal_energy_adjusted_cost_high,terminal_energy_adjusted_cost,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,up_adjust_kwh,down_adjust_kwh,mean_terminal_soc,min_terminal_soc,max_terminal_soc,days_near_soc_min,days_near_soc_max
fixed,0+6+12,daily_closed,daily_reference,feb1_control_start,6000.0,6000.0,6000.0,6000.0,1200.0,10800.0,7424.4872044713375,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,0,0,0.0,0.0,7378846.080187424,5976865.324951814,13355711.405139238,243,9313,17020306.64654084,17020306.64654084,67679.28835728469,0,0,0.33417,17020306.64654084,0.6895775000000001,17020306.64654084,1.2556800000000001,17020306.64654084,17020306.64654084,25627255.441250667,24999199.302475538,282085.63826788275,25281284.94074342,15933478.626203697,9377.417676283196,1077450.6026608576,323799.4268376691,951855.5656127983,6000.0,6000.0,6000.0,0,0
dynamic,0+6+12,daily_closed,daily_reference,feb1_control_start,6000.0,6000.0,6000.0,6000.0,1200.0,10800.0,6938.619643414165,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,0,0,0.0,0.0,7577865.612505415,6138071.1461293865,13715936.758634802,242,9334,17244554.425876774,17244554.425876774,77448.03790809137,0,0,0.00684,17244554.425876774,0.6895778441780822,17244554.425876774,1.6142400000000001,17244554.425876774,17244554.425876774,25670948.337913815,25037267.64220966,281004.2788216847,25318271.921031345,16003483.691399405,26456.991539576946,1214613.7429377914,327031.53227925784,960712.2279834151,6000.0,6000.0,6000.0,0,0
fixed,0+6+12,continuous_lookahead,free,feb1_control_start,6000.0,1200.0,1214.37125748503,1200.0,1200.0,10800.0,6733.166165552825,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,334,0,-14.37125748502994,0.0,7370667.540750617,5974560.708008,13345228.248758618,243,9581,17089614.357292805,17089614.357292805,68912.37030915597,334,0,0.33417,17091218.373292804,0.6895775000000001,17092924.329292804,1.2556800000000001,17095641.621292803,17092924.329292804,25575181.11322694,24955999.7273196,301533.0658616755,25257532.793181274,15925905.999201803,13883.12902539775,1149825.2290656052,327003.325441534,946184.711348876,1200.0,1200.0,1200.0,334,0
dynamic,0+6+12,continuous_lookahead,free,feb1_control_start,6000.0,1212.3118551851853,1226.9440276984917,1212.6096320553338,1200.0,10800.0,6196.786274113594,1212.6096320553338,1202.5560370370372,1200.0,1957.3643333333332,1200.0,1226.7813168055557,331,0,-14.334395643158127,0.0,7581632.317394803,6145431.096420124,13727063.413814928,242,9580,17314363.156656828,17314363.156656828,79481.67053387871,331,0,0.00684,17314395.904443737,0.6895778441780822,17317664.640326325,1.6142400000000001,17322091.63436771,17317664.640326325,25617313.40027687,24997470.57687201,299602.69118820137,25297073.26806021,15989508.467273751,33314.359275274284,1291540.330107801,334175.37472177,954018.1981266275,1212.6096320553338,1200.0,1957.3643333333332,331,0
