price_mode,update_hours,soc_policy,terminal_mode,initial_soc_policy,initial_soc_first_day,final_soc_last_day,mean_daily_start_soc,mean_daily_end_soc,min_soc,max_soc,mean_soc,terminal_soc_mean,terminal_soc_median,terminal_soc_min,terminal_soc_max,terminal_soc_p05,terminal_soc_p95,days_terminal_soc_near_min,days_terminal_soc_near_max,soc_start_end_delta_mean,soc_continuity_max_error,charge_kwh,discharge_kwh,throughput_kwh,emergency_days,emergency_slots,raw_total_cost,total_cost,daily_cost_p95,days_end_near_min,days_end_near_max,salvage_low_yuan_per_kwh,terminal_energy_adjusted_cost_low,salvage_mean_yuan_per_kwh,terminal_energy_adjusted_cost_mean,salvage_high_yuan_per_kwh,terminal_energy_adjusted_cost_high,terminal_energy_adjusted_cost,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,mean_terminal_soc,min_terminal_soc,max_terminal_soc,days_near_soc_min,days_near_soc_max
fixed,0,daily_closed,daily_reference,feb1_control_start,6000.0,6000.0,6000.0,6000.0,1200.0,10800.0,7417.12564744635,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,0,0,0.0,0.0,7484428.163666049,6062386.8125695,13546814.97623555,249,10800,17609791.686546136,17609791.686546136,73752.00880391273,0,0,0.33417,17609791.686546136,0.6895775000000001,17609791.686546136,1.2556800000000001,17609791.686546136,17609791.686546136,25433452.303556427,477446.05741713784,25910898.360973563,15771812.68749251,1837978.999053627,6000.0,6000.0,6000.0,0,0
dynamic,0,daily_closed,daily_reference,feb1_control_start,6000.0,6000.0,6000.0,6000.0,1200.0,10800.0,6951.906989819855,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,0,0,0.0,0.0,7682303.735684361,6222666.025904333,13904969.761588695,249,10815,17923538.09367122,17923538.09367122,85317.6960448363,0,0,0.00684,17923538.09367122,0.6895778441780822,17923538.09367122,1.6142400000000001,17923538.09367122,17923538.09367122,25477660.762405552,476815.3371858333,25954476.099591386,15807759.12992746,2115778.9637437607,6000.0,6000.0,6000.0,0,0
fixed,0,continuous_lookahead,free,feb1_control_start,6000.0,8550.0,8542.365269461077,8550.0,1200.0,10800.0,7581.674864604341,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,0,0,7.634730538922156,0.0,7484922.526163374,6060492.246192333,13545414.772355707,249,11138,17719866.94791666,17719866.94791666,75651.64403114704,0,0,0.33417,17719014.81441666,0.6895775000000001,17718108.52529166,1.2556800000000001,17716664.96391666,17718108.52529166,25378199.991606135,516941.1897118333,25895141.18131797,15731954.6568683,1987912.2910483615,8550.0,8550.0,8550.0,0,0
dynamic,0,continuous_lookahead,free,feb1_control_start,6000.0,6300.0,4541.175944561988,4542.074148154802,1200.0,10800.0,6707.641400676429,4542.074148154802,4754.9167777777775,1200.0,9300.0,1200.0,7950.0,23,0,0.8982035928143686,0.0,7641550.452450822,6189385.866485166,13830936.318935988,249,11110,18039943.656079017,18039943.656079017,87125.628598533,23,0,0.00684,18039941.604079016,0.6895778441780822,18039736.782725763,1.6142400000000001,18039459.384079017,18039736.782725763,25415524.744974896,515475.2103326358,25930999.955307532,15753991.77041787,2285951.8856611485,4542.074148154802,1200.0,9300.0,23,0
